Location (AA ID),Pool_ID (AA Name),unique_pool_id,Project Name (optional),Project ID #,AA (500m) North Transect % crossing aquatic area,AA (500m) East Transect % crossing aquatic area,AA (500m) South Transect % crossing aquatic area,AA (500m) West Transect % crossing aquatic area,Average Transect # crossing aquatic area,"1.1: AA Abundance (A = 31-100%, B = 21-30%, C = 11-20%, D = 0-10%)","1.2A: Percent of AA with 5m Buffer (A = 75-100%, B - 50-74%, C = 25-49%, D = 1-24%)",Buffer Transect A (<250m),Buffer Transect B (<250m),Buffer Transect C (<250m),Buffer Transect D (<250m),Buffer Transect E (<250m),Buffer Transect F (<250m),Buffer Transect G (<250m),Buffer Transect H (<250m),Average Buffer Width (m),"1.2B: Average Buffer Width (A = 190-250m, B = 130-189m, C = 65-129m, D = 0-64m)",,,SYSTEM AA Long Axis Transect Length (m),SYSTEM AA Long Axis Transect Length Crossing Pool or Swale (m),SYSTEM AA Short Axis Transect Length (m),SYSTEM AA Short Axis Transect Length Crossing Pool or Swale (m),SYSTEM Pool and Swale Density (%),"SYSTEM 3.2: Pool and Swale Density (A = 36-100%, B = 26-35%, C = 16-25%, D = 0-15%)",Datum,Attribute 1 Final Score,Attribute 2 Final Score,SYSTEM Topographic Complexity Average,Attribute 3 Final Score,SYSTEM Zonation Average,Attribute 4 Final Score,Overall AA Score,Notes
West Campus Bluffs,10,west_campus10,,,32.47,6.11,67.17,85.8,47.8875,12,12,250,9.28,8.91,16.37,250,250,250,250,160.57,9,,,,,,,#DIV/0!,,,82.92,100,,37.5,,54.17,69,
West Campus Bluffs,11,west_campus11,,,65.97,15.6,54.44,88.03,56.01,12,12,250,57.91,61.79,250,250,250,250,250,202.4625,12,,,,,,,,,,100,100,,37.5,,54.17,73,
West Campus Bluffs,8,west_campus8,,,76.55,7.34,66.38,60.78,52.7625,12,12,250,86.83,250,250,250,250,250,250,229.60375,12,,,,,,,,,,100,100,,50,,66.67,79,
West Campus Bluffs,9,west_campus9,,,65.06,6.07,68.63,72.39,53.0375,12,12,250,9.26,250,250,250,250,250,250,219.9075,12,,,,,,,,,,85.38,100,,50,,29.17,66,
West Campus Bluffs,6,west_campus6,,,28.84,24.22,99.56,9.26,40.47,12,12,81.3,115.65,250,250,250,250,250,97.94,193.11125,12,,,,,,,,,,85.38,100,,62.5,,87.5,84,
West Campus Bluffs,7,west_campus7,,,31.78,56.19,97.75,28.23,53.4875,12,12,20.27,37.06,250,250,250,250,66.85,50.18,146.795,9,,,,,,,,,,82.92,100,,25,,25,58,
West Campus Bluffs,4,west_campus4,,,22.08,35.3,93.07,27.39,44.46,12,12,151.65,203.44,250,250,250,250,250,83.22,211.03875,12,,,,,,,,,,85.38,100,,62.5,,83.33,83,
West Campus Bluffs,5,west_campus5,,,17.75,52.51,87.86,33.75,47.9675,12,12,134.18,227.69,250,250,250,250,60.4,38.44,182.58875,9,,,,,,,,,,,,,,,,,
West Campus Bluffs,1,west_campus1,,,15.92,6.03,74.76,15.46,28.0425,9,12,65.85,103.6,77.45,114.38,250,250,250,136,155.91,9,,,,,,,,,,82.92,100,,50,,91.67,81,
West Campus Bluffs,2,west_campus2,,,16.2,6.05,79.08,6.17,26.875,9,12,25.78,57.19,141.59,250,250,250,217.8,81.37,159.21625,9,,,,,,,,,,82.92,100,,25,,29.17,59,
West Campus Bluffs,3,west_campus3,,,30.17,18.42,79.37,59.81,46.9425,12,12,93.46,159.71,143.81,250,250,250,250,228.68,203.2075,12,,,,,,,,,,85.38,100,,25,,33.33,61,
North Parcel,8,north_parcel8,,,13.66,13.27,25.22,24.41,19.14,6,12,45.95,7.62,15.05,17.75,14.8,21.39,74.83,68.63,33.2525,3,,,,,,,,,,62.5,100,,75,,83.33,80,
North Parcel,7,north_parcel7,,,8.86,18.37,24.56,15.92,16.9275,6,12,51.75,25.55,30.75,43.99,17.75,21.02,46.83,51.84,36.185,3,,,,,,,,,,62.5,100,,75,,66.67,76,
North Parcel,6,north_parcel6,,,6.02,25.03,29.61,21.8,20.615,9,12,33.09,68.33,75.56,30.55,12.86,11.19,15.13,28.11,34.3525,3,,,,,,,,,,75,100,,37.5,,66.67,70,
North Parcel,10,north_parcel10,,,6.04,10.41,44.13,12.31,18.2225,6,12,5.93,23.13,8.5,5.1,55.56,4.25,2.48,10.22,14.39625,3,,,,,,,,,,72.88,83.33,,75,,62.5,73,
North Parcel,11,north_parcel11,,,10.6,9.94,63.3,21.92,26.44,9,12,5.02,5.55,5.64,5.81,13.12,7.81,5.14,6.16,6.78125,3,,,,,,,,,,80.63,91.67,,50,,41.67,66,
North Parcel,9,north_parcel9,,,16.52,9.32,46.29,22.49,23.655,9,12,18.58,250,234.09,149.03,12.86,23.68,14.96,11.79,89.37375,6,,,,,,,,,,79.75,91.67,,62.5,,79.17,78,
North Parcel,12,north_parcel12,,,20.66,16.89,60.46,41.03,34.76,12,12,20.79,250,184.63,121.83,60.27,24.58,14.45,19.64,87.02375,6,,,,,,,,,,86.42,100,,75,,62.5,81,
North Parcel,14,north_parcel14,,,6.15,31.31,31.93,24.89,23.57,9,12,232.04,201.07,84.65,49.12,74.35,50.18,44.55,49.54,98.1875,6,,,,,,,,,,86.42,83.33,,37.5,,79.17,72,
North Parcel,13,north_parcel13,,,49.14,38.3,39.85,10.03,34.33,12,12,62.47,236.83,128.46,45.95,11.17,25.4,14.22,5.81,66.28875,6,,,,,,,,,,86.42,83.33,,75,,79.17,81,
North Parcel,15,north_parcel15,,,32.56,38.56,34.61,13.02,29.6875,9,12,250,103.66,12.61,8.91,9.82,12.27,10.38,9.39,52.13,3,,,,,,,,,,80.63,66.67,,37.5,,79.17,66,
North Parcel,16,north_parcel16,,,13.23,34.65,26.93,19.55,23.59,9,12,223.92,65.02,106.8,17.75,13.95,50.78,26.32,65.91,71.30625,6,,,,,,,,,,86.42,91.67,,37.5,,62.5,70,
North Parcel,17,north_parcel17,,,6.12,26.26,15.72,29.81,19.4775,6,12,250,151.57,69.75,14.47,10.78,39.59,118.87,127.66,97.83625,6,,,,,,,,,,73.92,100,,37.5,,79.17,73,
North Parcel,4,north_parcel4,,,17.73,23.93,17.75,30.51,22.48,9,12,20.01,19.2,15.52,18.66,39.86,57.92,28.1,18.47,27.2175,3,,,,,,,,,,80.63,75,,37.5,,75,67,
North Parcel,3,north_parcel3,,,9.75,23.91,13.72,29.14,19.13,6,12,35.09,47.17,27.34,20.86,21.64,41.48,36.34,30.12,32.505,3,,,,,,,,,,68.13,75,,50,,79.17,68,
North Parcel,5,north_parcel5,,,6.11,30.32,14.61,26.35,19.3475,6,12,16.25,34.8,48.88,33.37,23.76,20.05,15.54,11.7,25.54375,3,,,,,,,,,,68.13,100,,50,,75,73,
North Parcel,2,north_parcel2,,,6,35.52,9.57,15.13,16.555,6,6,1.48,1.23,1.69,1.21,250,1.13,1.69,1.48,32.48875,3,,,,,,,,,,63.25,83.33,,50,,66.67,66,
North Parcel,1,north_parcel1,,,6,41.91,12.09,9.26,17.315,6,9,0.35,0.07,0.1,0.07,1.61,162,250,250,83.025,6,,,,,,,,,,71.38,83.33,,50,,66.67,68,
North Parcel,18,north_parcel18,,,9.05,9.12,38.77,60.83,29.4425,9,12,83.42,96.95,74.67,132.38,32.88,19.76,25.47,71,67.06625,6,,,,,,,,,,86.42,91.67,,50,,79.17,77,
North Parcel,19,north_parcel19,,,24.08,9.15,34.27,24.76,23.065,9,12,106,66.79,63.8,250,250,11.31,3.49,3.97,94.42,6,,,,,,,,,,86.42,83.33,,62.5,,83.33,79,
North Parcel,Phase 1,north_parcelph1,,,6,6,25.2,43.26,20.115,6,12,12.07,13.61,15.37,24.4,250,108.65,69.07,14.54,63.46375,3,,,,,,,,,,68.13,91.67,,75,,83.33,80,
Storke Ranch,Main,unlistedmain,,,6.02,35.49,6.01,30.59,19.5275,6,12,34.84,39.11,193,46.19,24.09,29.4,18.53,46.15,53.91375,3,,,,,,,,,,67.25,100,,50,,58.33,69,
Storke Ranch,East,unlistedeast,,,6,33.43,42.17,50.37,32.9925,12,12,27.72,75.29,113.33,60.54,37.51,139.24,193.69,170.06,102.1725,6,,,,,,,,,,86.42,100,,62.5,,79.17,82,
Storke Ranch,2017,unlisted2017,,,11.41,27.35,37.96,24.41,25.2825,9,12,60.36,113.79,99.54,18.48,18.86,36.36,222.23,215.09,98.08875,6,,,,,,,,,,83.88,100,,62.5,,70.83,79,
Storke Ranch,South,unlistedsouth,,,15.31,11.39,40.52,33.01,25.0575,9,12,61.4,55.2,38.78,35.78,18.37,39.34,250,108.62,75.93625,9,,,,,,,,,,83.88,100,,62.5,,54.17,75,
Storke Ranch,North,unlistednorth,,,6.17,6.29,46.58,65.82,31.215,12,12,21.71,26.81,37.4,54.27,53.44,109.77,250,46.58,74.9975,6,,,,,,,,,,86.42,100,,50,,75,78,
Storke Ranch,2007,unlisted2007,,,6,12.09,49.11,67.07,33.5675,12,12,16.48,60.93,75.03,87.57,68.42,205.99,232.63,37.6,98.08125,6,,,,,,,,,,86.42,100,,50,,66.67,76,
Del Sol,N,unlistedn,,,29.17,22.39,10.49,35.44,24.3725,9,12,226.36,228.4,163.68,90.87,31.28,48.09,18.26,15.77,102.83875,6,,,,,,,,,,79.75,91.67,,62.5,,66.67,75,
Del Sol,V,unlistedv,,,39.018,6.16,6.24,36.88,22.0745,9,12,250,164.69,139.03,32.68,15.27,38.5,69.91,61.5,96.4475,6,,,,,,,,,,79.75,100,,62.5,,66.67,77,
Del Sol,E,unlistede,,,74.12,6,6.12,46.07,33.0775,12,12,157.22,49.35,58.99,80.06,121.68,167.83,138.17,130.59,112.98625,6,,,,,,,,,,79.95,100,,37.5,,66.67,71,
Del Sol,W,unlistedw,,,65.27,17.81,19.77,48.52,37.8425,12,12,129.26,113.83,75.91,130.46,175.61,137.34,72.9,94.46,116.22125,6,,,,,,,,,,79.75,100,,50,,79.17,77,
Del Sol,F,unlistedf,,,54.42,8.16,19.77,48.52,32.7175,12,12,133.18,61.86,41.68,57.22,180.16,204.38,151.88,181.04,126.425,6,,,,,,,,,,79.75,100,,50,,75,76,
Del Sol,S,unlisteds,,,52.18,6.01,13.82,62.82,33.7075,12,12,102.01,30.89,23.49,39.77,209.17,215.31,135.47,172.23,116.0425,6,,,,,,,,,,79.75,100,,50,,79.17,77,
Del Sol,H,unlistedh,,,40.52,6.02,24.47,53.78,31.1975,12,12,44.33,51.71,38.64,53.32,250,227.5,173.42,77.46,114.5475,6,,,,,,,,,,,,,,,,,
Del Sol,H-M,unlistedh-m,,,35.73,6.02,23.99,24.13,22.4675,9,12,35.19,58.88,38.64,47.44,250,185.82,117.69,74.96,101.0775,6,,,52.65,17.37,30.28,9.89,32.87109611,9,,67.25,100,,41.67,,54.17,66,system; bolded 250m buffers; 2 transects bisecting system and then cut to calculate how much of each transect intersects w/ pool layer not in ArcGIS layer
Del Sol,M,unlistedm,,,41.17,16.42,35.42,24.13,29.285,9,12,46.37,80.27,95.23,139.78,250,165.78,115.26,74.96,120.95625,6,,,,,,,,,,,,,,,,,
Del Sol,G,unlistedg,,,6,27.52,45.67,26.28,26.3675,9,12,89.47,151.32,173.43,238.55,207.5,30.96,16.83,22.11,116.27125,6,,,,,,,,,,79.75,100,,62.5,,83.33,81,
Del Sol,T,unlistedt,,,17.26,37.05,37.33,39.61,32.8125,12,12,172.58,219.04,169.89,235.35,162.28,46.48,31.71,27.01,133.0425,9,,,,,,,,,,82.92,100,,62.5,,66.67,78,
Del Sol,U,unlistedu,,,24.01,27.88,28.52,27.92,27.0825,9,12,188.46,213.41,145.59,179.23,120.89,32.73,21.84,27.73,116.235,6,,,,,,,,,,79.95,100,,50,,91.67,80,
Camino Corto,6,unlisted6,,,6.08,54.27,25.12,14.72,25.0475,9,12,159.17,17.15,12.42,36.74,250,121.2,143.47,145.08,110.65375,6,,,,,,,,,,89.13,100,,50,,79.17,80,
Camino Corto,2,unlisted2,,,6,63.42,35.5,6,27.73,9,12,141.54,106.67,85.19,167.06,250,71.88,56.56,71.52,118.8025,6,,,,,,,,,,79.75,100,,62.5,,83.33,81,
Camino Corto,4,unlisted4,,,12.36,40.19,9.26,21.19,20.75,9,12,250,136.94,121.59,179.79,250,250,53.94,43.39,160.70625,9,,,,,,,,,,82.92,100,,50,,83.33,79,
Camino Corto,5,unlisted5,,,6.07,6.01,9.27,12.4,8.4375,3,12,91.53,222.34,184.78,152.56,213.6,250,127.19,39.15,160.14375,9,,,,,,,,,,57.92,100,,50,,87.5,77,
Camino Corto,8,unlisted8,,,35.7,26.74,9.22,21.86,23.38,9,12,250,67.86,53.67,75.44,204.02,250,108.49,145.05,144.31625,9,,,,,,,,,,82.92,100,,50,,70.83,76,
Camino Corto,3,unlisted3,,,23.36,51.99,13.88,6,23.8075,9,12,242.93,160.45,87.51,151.49,250,250,37.99,86.07,158.305,9,,,,,,,,,,93.29,100,,37.5,,70.83,75,
Camino Corto,7,unlisted7,,,18.76,49.79,9.25,17.34,23.785,9,12,230.67,21.81,13.99,22.56,250,250,109.77,169.06,133.4825,9,,,,,,,,,,82.92,100,,75,,91.67,87,
Del Sol,L,unlistedl,,,42.35,13.08,30.05,48.48,33.49,12,12,63.86,97.74,72.52,107.6,250,185.82,140.76,104.1,127.8,6,,,,,,,,,,,,,,,,,
Del Sol,J,unlistedj,,,34.81,13.03,32.46,25.45,26.4375,9,12,43.52,71.22,76.11,107.72,250,182.96,138.88,69.21,117.4525,6,,,,,,,,,,,,,,,,,
Del Sol,I,unlistedi,,,35.73,9.77,32.19,27.36,26.2625,9,12,35.19,58.88,63.49,83.22,250,197.14,150.92,56.67,111.93875,6,,,,,,,,,,,,,,,,,
Del Sol,K,unlistedk,,,44.47,9.27,23.99,61.98,34.9275,12,12,68.79,68.31,52.4,70.29,242.5,215.13,163.59,115.92,124.61625,6,,,,,,,,,,,,,,,,,
Ellwood Mesa,creared pool by trees,ellwoodcreated,,,16.7,24.71,92.45,65.38,49.81,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,,,,,,,,
Ellwood Mesa,1,ellwood1,,,38.1,22.71,53.05,78.06,47.98,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,85.38,100,,37.5,,41.67,66,
Ellwood Mesa,2,ellwood2,,,55.34,58.46,38.95,74.16,56.7275,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,25,,25,61,
Ellwood Mesa,3,ellwood3,,,50.73,64.15,45.1,72.77,58.1875,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,25,,62.5,70,
Ellwood Mesa,4,ellwood4,,,38.03,41.9,62.49,62.41,51.2075,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,35,,54.17,68,
Ellwood Mesa,5,ellwood5,,,15.35,31.14,47.39,49.61,35.8725,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,85.38,100,,25,,50,65,
Ellwood Mesa,6,ellwood6,,,9.43,26.14,52.74,40.3,32.1525,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,,,,,,,,
More Mesa,Main,more_mesamain,,,6.13,6.004,92.99,79.72,46.211,12,12,250,108.27,70.18,56.88,250,250,250,250,185.66625,9,,,,,,,,,,82.92,100,,62.5,,75,80,
South Parcel,NWW 3,south_parcel3,,,60.63,37.59,19.53,35.94,38.4225,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,62.5,,83.33,85,
South Parcel,NWW 2,south_parcel2,,,56.98,39.17,7.54,29.76,33.3625,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,62.5,,70.83,82,
South Parcel,NWW 1,south_parcel1,,,43.21,33.69,24.17,32.36,33.3575,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,37.5,,70.83,75,
South Parcel,NWW 5,south_parcelsp_05,,,41.76,42.52,32.2,45.26,40.435,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,100,100,,50,,83.33,83,
South Parcel,NWW 4,south_parcelsp_04,,,52.22,42.54,23.88,49.99,42.1575,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,50,,70.83,79,
South Parcel,NWW 6,south_parcelsp_06,,,43.94,19.29,31.04,76.88,42.7875,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,62.5,,83.33,85,
South Parcel,NWW 7,south_parcel7,,,25.55,26.3,50.9,68.07,42.705,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,87.5,,70.83,88,
South Parcel,NWW 8,south_parcel8,,,23.3,20.2,47.94,69.69,40.2825,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,50,,58.33,75,
South Parcel,NWW 9,south_parcel9,,,27.44,20.26,50.9,68.07,41.6675,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,62.5,,66.67,81,
South Parcel,SWW 1,south_parcelsww,,,32.91,6.14,13.42,77.49,32.49,12,12,250,250,207.05,198.19,250,250,250,250,238.155,12,,,,,,,,,,93.29,91.67,,62.5,,29.17,69,
Sierra Madre,Central Wetland,sierra_madrecentral wetland,,,14.29,11.01,6,9.54,10.21,3,12,23.49,25.26,30.5,32.91,27.19,24.49,23.95,25.81,26.7,3,,,,,,,,,,55.63,91.67,,87.5,,87.7,81,
Manzanita Village,Santa Catalina Vernal Pool,manzanita_villagesan catalina,,,17.75,60.56,97.53,99.46,68.825,12,12,250,250,250,250,250,250,250,48.58,224.8225,12,,,,,,,,,,93.29,100,,50,,87.5,83,
Manzanita Village,Santa Barbara Vernal Pool,manzanita_villagesanta barbara,,,6.01,63.41,98.57,99.89,66.97,12,12,250,250,250,250,250,250,250,85.86,229.4825,12,,,,,,,,,,93.29,100,,50,,83.33,82,
Manzanita Village,Santa Cruz Vernal Pool,manzanita_villagesanta cruz,,,8.51,45.9,100,100,63.6025,12,12,29.69,75.94,250,250,250,250,170.54,74.56,168.84125,9,,,,,,,,,,90.29,100,,62.5,,79.17,83,
Manzanita Village,Santa Rosa Vernal Pool,manzanita_villagesanta rosa,,,6.28,43.54,100,100,62.455,12,12,26.24,32.65,250,250,250,250,142.48,48.54,156.23875,9,,,,,,,,,,90.29,100,,50,,83.33,81,
Manzanita Village,San Miguel Vernal Pool,manzanita_villagesan miguel,,,6.16,43.28,100,97.69,61.7825,12,12,27.87,41.9,250,250,250,250,101.21,21.42,149.05,9,,,,,,,,,,90.29,100,,62.5,,83.33,84,
NCOS,VP 1,ncos1,,,11.85,17.5,6,38.82,18.5425,6,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,80.79,100,,50,,87.5,80,
NCOS,VP 2,ncos2,,,15.23,21.13,6.03,40.07,20.615,9,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,93.29,100,,62.5,,87.5,86,
NCOS,VP 3,ncos3,,,22.1,6,6,7.63,10.4325,3,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,,,,,,,,
NCOS,VP 4,ncosvp-04,,,29.99,23.16,18.04,17.86,22.2625,9,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,,,,,,,,
NCOS,VP 5,ncos5,,,37.15,39.71,12.2,43.06,33.03,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,,,,,,,,
NCOS,VP 6,ncos6,,,36.99,42.7,9.49,45.01,33.5475,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,,,,,,,,
NCOS,VP 7,ncos7,,,24.69,14.51,11.35,49.06,24.9025,9,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,,,,,,,,
NCOS,VP 8,ncos8,,,18.47,10.46,25.25,50.45,26.1575,9,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,,,,,,,,
NCOS,3-9,ncos3-9,,,0.24954,39.71,6,43.06,22.254885,9,12,250,250,250,250,250,250,250,250,250,12,,,306.13,88.32,26.75,17.79,31.87635184,12,,80.79,100,,58.33,,65.5,75, #9; 500m N buffer from 9; system and then 2 transects bisecting system and then cut to calculate how much of each transect intersects w/ pool layer not in ArcGIS layer
NCOS,9,ncos9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellwood Mesa,Reference,ellwoodreference,,,17.04,35.91,39.69,60.64,38.32,12,12,250,250,250,250,250,250,250,250,250,12,,,,,,,,,,85.38,100,,50,,66.67,76,
West Campus Bluffs,13,west_campus13,,,71.73,17.58,56.42,71.37,54.275,12,12,250,65.11,250,250,159.45,250,250,250,215.57,12,,,,,,,,,,85.38,100,,37.5,54.17,54.17,69,
Los Carneros,Main,carenros_main,,,0,0,0,0.4181,0.104525,3,12,208.84,26.19,19.47,33.35,21.54,26.76,250,250,104.51875,6,,,,,,,,,,42.25,83.33,,75,,75,69,Buffer transects not in ArcGIS layer